number,wallet,ethereum-ETH,ethereum-USDT,ethereum-USDC,arbitrum-ETH,arbitrum-USDT,arbitrum-USDC,arbitrum-USDC,arbitrum-BTC.B,optimism-ETH,optimism-USDT,optimism-USDC,optimism-USDC,polygon-MATIC,polygon-USDT,polygon-USDC,polygon-USDC,polygon-BTC.B,avalanche-AVAX,avalanche-USDT,avalanche-USDC,avalanche-USDC.E,avalanche-BTC.B,bsc-BNB,bsc-USDT,bsc-USDC,bsc-BTC.B,zkera-ETH,nova-ETH,nova-USDC,nova-ARB,nova-DAI,nova-WBTC,base-ETH,base-USDBC,total no wallet usd
27,0xfcc6eeA372aB8d99F06ec15Bd5DB7735F528663B,0.0,0.0,0.0,5.2298,1.4131,0.0,3.4288,0.0,6.7036,0.0,0.8433,0.8433,9.9439,0.0,0.0919,0.0919,0.0,12.7179,0.0,0.8352,0.0,0.0,3.41,0.0,0.0,0.0,0.0,4.755,0.0,0.0,0.8754,0.0,0.0,0.0,51.1831
28,0x527541f87fC71971CeE766Fae56cfbf749629797,0.0,0.0,0.0,2.2604,0.0,0.0,0.6974,0.0,7.3638,0.0,0.8993,0.8993,8.3012,0.0,0.0,0.0,0.0,4.3566,0.0,0.0,0.0,0.0,6.6006,0.0,0.0,0.0,0.0,4.2878,0.0,0.0,0.0,0.0,0.0,0.0,35.6664
29,0x98fdc2784074d7790278746337d7456893dA5CE7,0.0,0.0,0.0,4.8805,0.9535,0.0,0.8813,0.0,8.6243,0.0,0.0,0.0,12.3672,0.0,0.0961,0.0961,0.0,14.3758,0.0,0.8728,0.0,0.0,2.3,0.0,0.0,0.0,0.0,4.7316,0.0,0.0,0.0,0.0,0.0,0.0,50.1792
30,0x0fF230ab745477af8f744eA0F765745ddd8E4D13,0.0,0.0,0.0,6.0708,0.0,0.0,0.9265,0.0,8.1006,1.3986,0.9447,0.9447,9.2782,0.0,0.9354,0.9354,0.0,12.7724,0.0,0.1019,0.0,0.0,6.1695,0.0,0.0,0.0,0.0,3.4844,0.0,0.0,0.0,0.0,0.0,0.0,52.0631
31,0x0f9E9bFFF245805aFDC47d474A237a334808E6C7,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.4162,0.0,0.0,0.0,2.4688,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,2.5208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4211
32,0x271D785264f72A60d0239f5e42AE17e09333e1a0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.0,0.3052,0.0,0.0,0.0,1.5485,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,1.9863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8579
33,0x015b2A68E8cD800E58B236AD4353De2ec81C4146,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.4354,0.0,0.0,0.0,2.4409,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,1.4974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391
34,0x071b7593E3c0326578CF46c007cAa5ddA2123c36,0.0,0.0,0.0,0.0166,0.0,0.0,0.0,0.0,0.2932,0.0,0.0,0.0,1.4202,0.0,0.0,0.0,0.0,0.0005,0.0,0.9542,0.0,0.0,2.2702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9549
35,0x133e7922d03Bb38faA1F8666740592bA0427ff7b,0.0,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.5394,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,2.5109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0681
36,0x207a1c15392FF1133369d85c711E644CDC7A17c0,0.0,0.0,0.0,0.0171,0.0,0.0,0.0,0.0,0.4372,0.0,0.0,0.0,2.5185,0.0,0.0,0.0,0.0,0.9448,0.0,0.0,0.0,0.0,2.4912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4088
37,0x0eAaE5BC02Bb30bacDE6d0b573af0F7d9A4FE2EA,0.0,0.0,0.0,0.0155,0.0,0.0,0.0,0.0,0.3393,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,2.1517,0.0,0.0,0.0,0.0,1.7998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3064
38,0x1Ce4F9D86a535e55FCD484238C9cd21cEB3A81B2,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0,2.4485,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,2.2862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7519
39,0x2111C7f9Fe08a73AD732D219a1FEC6bef1f165F5,0.0,0.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.6489,0.0,0.0,0.0,1.6848,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,1.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3157
40,0x15Cc608786A36C5619d533412C5447Bac879f10F,0.0,0.0,0.0,0.0183,0.0,0.0,0.0,0.0,0.3535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,2.1801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5524
41,0x2365B31a0a1cF745262550beFFAb6a6D7aF147a2,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.4419,0.0,0.0,0.0,1.6324,0.0,0.0,0.0,0.0,0.9944,0.0,0.0,0.0,0.0,2.0863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1702
